station_name,longitude,latitude,long_lat_point,village_code
大橋頭站,121.5130035,25.06322,POINT (121.5130035 25.06322),63000060015
台北橋站,121.500575,25.063075,POINT (121.500575 25.063075),65000020037
菜寮站,121.491421,25.059451,POINT (121.491421 25.059451),65000020024
三重站,121.48422,25.05571,POINT (121.48422 25.05571),65000020008
先嗇宮站,121.47165,25.04632,POINT (121.47165 25.04632),65000020005
頭前庄站,121.46165500000001,25.039735,POINT (121.461655 25.039735),65000050025
新莊站,121.45218,25.03608,POINT (121.45218 25.03608),65000050016
輔大站,121.43573500000001,25.03279,POINT (121.435735 25.03279),65000050068
丹鳳站,121.422422,25.029073,POINT (121.422422 25.029073),65000050043
迴龍站,121.41175700000001,25.022107000000002,POINT (121.411757 25.022107),65000050048
三重國小站,121.49701,25.070275,POINT (121.49701 25.070275),65000020071
三和國中站,121.486795,25.07646,POINT (121.486795 25.07646),65000020088
徐匯中學站,121.479945,25.080485,POINT (121.479945 25.080485),65000140010
三民高中站,121.47336499999999,25.085425,POINT (121.473365 25.085425),65000140012
蘆洲站,121.46471000000001,25.091520000000003,POINT (121.46471 25.09152),65000140030
頂埔站,121.4205,24.96012,POINT (121.4205 24.96012),65000130023
永寧站,121.43613,24.966820000000002,POINT (121.43613 24.96682),65000130020
土城站,121.44431999999999,24.973129999999998,POINT (121.44432 24.97313),65000130037
海山站,121.44873,24.985305,POINT (121.44873 24.985305),65000130006
亞東醫院站,121.45246499999999,24.998279999999998,POINT (121.452465 24.99828),65000010087
府中站,121.459276,25.008465,POINT (121.459276 25.008465),65000010005
板橋站,121.464825,25.015156,POINT (121.464825 25.015156),65000010022
新埔站,121.468055,25.02327,POINT (121.468055 25.02327),65000010027
江子翠站,121.47256999999999,25.030265,POINT (121.47257 25.030265),65000010041
龍山寺站,121.500325,25.03528,POINT (121.500325 25.03528),63000070007
善導寺站,121.523885,25.04468,POINT (121.523885 25.04468),63000050025
忠孝敦化站,121.55045,25.041504999999997,POINT (121.55045 25.041505),63000030049
國父紀念館站,121.55781499999999,25.04137,POINT (121.557815 25.04137),63000020005
市政府站,121.56568500000002,25.041135,POINT (121.565685 25.041135),63000020006
永春站,121.5762,25.040855,POINT (121.5762 25.040855),63000020019
後山埤站,121.58227,25.044715,POINT (121.58227 25.044715),63000090010
昆陽站,121.5932285,25.050458499999998,POINT (121.5932285 25.0504585),63000090010
十四張站,121.527698,24.984333,POINT (121.527698 24.984333),65000060052
秀朗橋站,121.52505049999999,24.9905493,POINT (121.5250505 24.9905493),65000030030
景平站,121.51655320000002,24.9919681,POINT (121.5165532 24.9919681),65000030077
南港站,121.60696999999999,25.052035,POINT (121.60697 25.052035),63000090002
中和站,121.49605190000001,25.0019806,POINT (121.4960519 25.0019806),65000030007
橋和站,121.4904608,25.0044131,POINT (121.4904608 25.0044131),65000030001
中原站,121.48415929999999,25.0084104,POINT (121.4841593 25.0084104),65000030001
板新站,121.4722124,25.0144914,POINT (121.4722124 25.0144914),65000010069
新埔民生站,121.466839,25.026125,POINT (121.466839 25.026125),65000010032
幸福站,121.46021599999999,25.050282,POINT (121.460216 25.050282),65000050002
新北產業園區站,121.4599257,25.061548300000002,POINT (121.4599257 25.0615483),65000050005
