village_code,county_chinese_name,township_chinese_name,village_chinese_name,village_english_name,county_id,county_code,township_id,township_code,note,township_english_name,restaurant_count
63000030026,臺北市,大安區,龍陣里,Longzhen Vil.,A,63000,A02,63000030,,Da'an District,10
63000050014,臺北市,中正區,忠勤里,Zhongqin Vil.,A,63000,A03,63000050,,Zhongzheng District,4
63000030015,臺北市,大安區,龍安里,Long'an Vil.,A,63000,A02,63000030,,Da'an District,12
63000050013,臺北市,中正區,龍興里,Longxing Vil.,A,63000,A03,63000050,,Zhongzheng District,8
63000030027,臺北市,大安區,龍雲里,Longyun Vil.,A,63000,A02,63000030,,Da'an District,12
63000030023,臺北市,大安區,新龍里,Xinlong Vil.,A,63000,A02,63000030,,Da'an District,8
63000050019,臺北市,中正區,南福里,Nanfu Vil.,A,63000,A03,63000050,,Zhongzheng District,30
63000050018,臺北市,中正區,龍光里,Longguang Vil.,A,63000,A03,63000050,,Zhongzheng District,19
63000030020,臺北市,大安區,錦泰里,Jintai Vil.,A,63000,A02,63000030,,Da'an District,16
63000070016,臺北市,萬華區,和平里,Heping Vil.,A,63000,A05,63000070,,Wanhua District,10
63000070012,臺北市,萬華區,雙園里,Shuangyuan Vil.,A,63000,A05,63000070,,Wanhua District,14
63000020030,臺北市,信義區,三張里,Sanzhang Vil.,A,63000,A17,63000020,,Xinyi District,19
63000020028,臺北市,信義區,景新里,Jingxin Vil.,A,63000,A17,63000020,,Xinyi District,20
63000020034,臺北市,信義區,景聯里,Jinglian Vil.,A,63000,A17,63000020,,Xinyi District,8
63000030031,臺北市,大安區,通化里,Tonghua Vil.,A,63000,A02,63000030,,Da'an District,12
63000030032,臺北市,大安區,通安里,Tong'an Vil.,A,63000,A02,63000030,,Da'an District,10
63000030030,臺北市,大安區,義安里,Yi'an Vil.,A,63000,A02,63000030,,Da'an District,16
63000050015,臺北市,中正區,廈安里,Xia'an Vil.,A,63000,A03,63000050,,Zhongzheng District,13
63000030029,臺北市,大安區,住安里,Zhu'an Vil.,A,63000,A02,63000030,,Da'an District,24
63000030022,臺北市,大安區,龍圖里,Longtu Vil.,A,63000,A02,63000030,,Da'an District,22
63000030041,臺北市,大安區,龍門里,Longmen Vil.,A,63000,A02,63000030,,Da'an District,50
63000020031,臺北市,信義區,三犁里,Sanli Vil.,A,63000,A17,63000020,,Xinyi District,23
63000070017,臺北市,萬華區,綠堤里,Lvti Vil.,A,63000,A05,63000070,,Wanhua District,7
63000030017,臺北市,大安區,福住里,Fuzhu Vil.,A,63000,A02,63000030,,Da'an District,26
63000070011,臺北市,萬華區,頂碩里,Dingshuo Vil.,A,63000,A05,63000070,,Wanhua District,17
63000030018,臺北市,大安區,永康里,Yongkang Vil.,A,63000,A02,63000030,,Da'an District,15
63000020004,臺北市,信義區,中興里,Zhongxing Vil.,A,63000,A17,63000020,,Xinyi District,7
63000050021,臺北市,中正區,新營里,Xinying Vil.,A,63000,A03,63000050,,Zhongzheng District,9
63000050020,臺北市,中正區,龍福里,Longfu Vil.,A,63000,A03,63000050,,Zhongzheng District,25
63000070018,臺北市,萬華區,華江里,Huajiang Vil.,A,63000,A05,63000070,,Wanhua District,18
63000070015,臺北市,萬華區,糖廍里,Tangbu  Vil.,A,63000,A05,63000070,,Wanhua District,18
63000030019,臺北市,大安區,光明里,Guangming Vil.,A,63000,A02,63000030,,Da'an District,11
63000020022,臺北市,信義區,松友里,Songyou Vil.,A,63000,A17,63000020,,Xinyi District,9
63000070010,臺北市,萬華區,富福里,Fufu Vil.,A,63000,A05,63000070,,Wanhua District,37
63000050017,臺北市,中正區,南門里,Nanmen Vil.,A,63000,A03,63000050,,Zhongzheng District,42
63000050016,臺北市,中正區,愛國里,Aiguo Vil.,A,63000,A03,63000050,,Zhongzheng District,18
63000020021,臺北市,信義區,松隆里,Songlong Vil.,A,63000,A17,63000020,,Xinyi District,21
63000020002,臺北市,信義區,正和里,Zhenghe Vil.,A,63000,A17,63000020,,Xinyi District,13
63000030056,臺北市,大安區,光信里,Guangxin Vil.,A,63000,A02,63000030,,Da'an District,26
63000030053,臺北市,大安區,敦煌里,Dunhuang Vil.,A,63000,A02,63000030,,Da'an District,20
63000050030,臺北市,中正區,文祥里,Wenxiang Vil.,A,63000,A03,63000050,,Zhongzheng District,15
63000030051,臺北市,大安區,敦安里,Dun'an Vil.,A,63000,A02,63000030,,Da'an District,28
63000030001,臺北市,大安區,德安里,De'an Vil.,A,63000,A02,63000030,,Da'an District,21
63000030002,臺北市,大安區,仁慈里,Renci Vil.,A,63000,A02,63000030,,Da'an District,20
63000030003,臺北市,大安區,和安里,He'an Vil.,A,63000,A02,63000030,,Da'an District,38
63000030004,臺北市,大安區,民炤里,Minzhao Vil.,A,63000,A02,63000030,,Da'an District,40
63000050031,臺北市,中正區,三愛里,San'ai Vil.,A,63000,A03,63000050,,Zhongzheng District,22
63000090018,臺北市,南港區,九如里,Jiuru Vil.,A,63000,A13,63000090,,Nangang District,45
63000020001,臺北市,信義區,西村里,Xicun Vil.,A,63000,A17,63000020,,Xinyi District,50
63000020009,臺北市,信義區,安康里,Ankang Vil.,A,63000,A17,63000020,,Xinyi District,33
63000070009,臺北市,萬華區,仁德里,Rende Vil.,A,63000,A05,63000070,,Wanhua District,13
63000020020,臺北市,信義區,國業里,Guoye Vil.,A,63000,A17,63000020,,Xinyi District,2
63000070008,臺北市,萬華區,福音里,Fuyin Vil.,A,63000,A05,63000070,,Wanhua District,15
63000070007,臺北市,萬華區,富民里,Fumin Vil.,A,63000,A05,63000070,,Wanhua District,23
63000020027,臺北市,信義區,大仁里,Daren Vil.,A,63000,A17,63000020,,Xinyi District,7
63000020024,臺北市,信義區,中坡里,Zhongpo Vil.,A,63000,A17,63000020,,Xinyi District,14
63000020008,臺北市,信義區,廣居里,Guangju Vil.,A,63000,A17,63000020,,Xinyi District,16
63000020003,臺北市,信義區,興隆里,Xinglong Vil.,A,63000,A17,63000020,,Xinyi District,23
63000030052,臺北市,大安區,正聲里,Zhengsheng Vil.,A,63000,A02,63000030,,Da'an District,17
63000090019,臺北市,南港區,仁福里,Renfu Vil.,A,63000,A13,63000090,,Nangang District,10
63000050029,臺北市,中正區,文北里,Wenbei Vil.,A,63000,A03,63000050,,Zhongzheng District,26
63000030050,臺北市,大安區,建倫里,Jianlun Vil.,A,63000,A02,63000030,,Da'an District,23
